amount,prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,desired_cfs,idx,test_id,dataset,black_box
47192.18275,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,5.0,1,0,synthetic_bank_accepted,randomForestClassifier
45736.5115,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,afinalized,oselected,ocreated,5.0,1,1,synthetic_bank_accepted,randomForestClassifier
2008.0294499999998,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,wfixincompletesubmission,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,5.0,1,2,synthetic_bank_accepted,randomForestClassifier
2008.0294499999998,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,acancelled,wcompletepreacceptedappl,acancelled,aaccepted,afinalized,afinalized,adeclined,odeclined,ocreated,5.0,1,3,synthetic_bank_accepted,randomForestClassifier
30213.25705,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,10.0,1,4,synthetic_bank_accepted,randomForestClassifier
40572.058249999995,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,wfixincompletesubmission,oselected,oselected,ocreated,10.0,1,5,synthetic_bank_accepted,randomForestClassifier
3201.7934499999997,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,adeclined,wcompletepreacceptedappl,acancelled,aaccepted,afinalized,afinalized,adeclined,0,ocreated,10.0,1,6,synthetic_bank_accepted,randomForestClassifier
2388.3286,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,wcompletepreacceptedappl,oselected,oselected,ocreated,15.0,1,7,synthetic_bank_accepted,randomForestClassifier
18599.290950000002,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,wcompletepreacceptedappl,oselected,oselected,ocreated,15.0,1,8,synthetic_bank_accepted,randomForestClassifier
2216.3865,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,odeclined,oselected,oselected,ocreated,15.0,1,9,synthetic_bank_accepted,randomForestClassifier
26027.19165,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,15.0,1,10,synthetic_bank_accepted,randomForestClassifier
36530.5114,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,odeclined,aaccepted,afinalized,afinalized,oselected,oselected,acancelled,15.0,1,11,synthetic_bank_accepted,randomForestClassifier
3308.4269,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,odeclined,oselected,oselected,ocreated,20.0,1,12,synthetic_bank_accepted,randomForestClassifier
6478.366749999999,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,wfixincompletesubmission,afinalized,oselected,oselected,ocreated,20.0,1,13,synthetic_bank_accepted,randomForestClassifier
5427.6715,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,acancelled,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,ocreated,20.0,1,14,synthetic_bank_accepted,randomForestClassifier
19609.104700000004,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,wcompletepreacceptedappl,oselected,ocreated,20.0,1,15,synthetic_bank_accepted,randomForestClassifier
8288.6197,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,apreaccepted,wcompletepreacceptedappl,wcompletepreacceptedappl,aaccepted,aaccepted,afinalized,afinalized,oselected,oselected,aaccepted,20.0,1,16,synthetic_bank_accepted,randomForestClassifier
52516.22895,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,wfixincompletesubmission,adeclined,adeclined,wfixincompletesubmission,apreaccepted,0,acancelled,0,wcompletepreacceptedappl,acancelled,aaccepted,5.0,2,0,synthetic_bank_accepted,randomForestClassifier
52244.29795,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,adeclined,acancelled,0,apreaccepted,0,adeclined,adeclined,aaccepted,acancelled,aaccepted,wcompletepreacceptedappl,10.0,2,1,synthetic_bank_accepted,randomForestClassifier
51324.697400000005,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,apreaccepted,adeclined,apreaccepted,adeclined,0,0,adeclined,acancelled,apreaccepted,wcompletepreacceptedappl,acancelled,10.0,2,2,synthetic_bank_accepted,randomForestClassifier
43936.52485,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,adeclined,wfixincompletesubmission,wfixincompletesubmission,0,adeclined,acancelled,aaccepted,0,acancelled,apreaccepted,wcompletepreacceptedappl,10.0,2,3,synthetic_bank_accepted,randomForestClassifier
43354.35315,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,adeclined,wfixincompletesubmission,wfixincompletesubmission,0,adeclined,acancelled,aaccepted,0,acancelled,apreaccepted,wcompletepreacceptedappl,10.0,2,4,synthetic_bank_accepted,randomForestClassifier
55333.756299999994,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,acancelled,acancelled,0,0,0,0,afinalized,afinalized,adeclined,odeclined,odeclined,15.0,2,5,synthetic_bank_accepted,randomForestClassifier
42324.3951,asubmitted,asubmitted,apartlysubmitted,apartlysubmitted,adeclined,wfixincompletesubmission,0,0,wfixincompletesubmission,acancelled,afinalized,acancelled,acancelled,afinalized,afinalized,15.0,2,6,synthetic_bank_accepted,randomForestClassifier
