prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,desired_cfs,idx,test_id,dataset,black_box
Register,Create Questionnaire,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,0,5.0,1,0,synthetic_data,randomForestClassifier
Register,High Insurance Check,Contact Hospital,Create Questionnaire,High Medical History,Accept Claim,0,5.0,1,1,synthetic_data,randomForestClassifier
Register,Low Medical History,Create Questionnaire,Contact Hospital,Accept Claim,Reject Claim,0,5.0,1,2,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,Receive Questionnaire Response,Create Questionnaire,0,Send Notification by Post,5.0,1,3,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Medical History,Low Insurance Check,Accept Claim,0,0,5.0,1,4,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,0,10.0,1,5,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,10.0,1,6,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Medical History,Create Questionnaire,High Medical History,Send Questionnaire,0,10.0,1,7,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,0,10.0,1,8,synthetic_data,randomForestClassifier
Register,High Insurance Check,Send Questionnaire,Low Medical History,High Medical History,Reject Claim,0,10.0,1,9,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,0,15.0,1,10,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Insurance Check,High Insurance Check,High Medical History,Reject Claim,0,15.0,1,11,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,15.0,1,12,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Prepare Notification Content,0,15.0,1,13,synthetic_data,randomForestClassifier
Register,Low Medical History,Contact Hospital,High Insurance Check,High Medical History,Prepare Notification Content,Contact Hospital,15.0,1,14,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,0,20.0,1,15,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,20.0,1,16,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Prepare Notification Content,0,20.0,1,17,synthetic_data,randomForestClassifier
Register,Create Questionnaire,High Medical History,High Insurance Check,Contact Hospital,Accept Claim,0,20.0,1,18,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Create Questionnaire,0,20.0,1,19,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,Prepare Notification Content,0,5.0,2,0,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,0,0,5.0,2,1,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,Send Questionnaire,0,5.0,2,2,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Medical History,Low Insurance Check,Accept Claim,Prepare Notification Content,0,5.0,2,3,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Prepare Notification Content,Send Notification by e-mail,0,5.0,2,4,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,Prepare Notification Content,0,10.0,2,5,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,0,0,10.0,2,6,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Contact Hospital,Create Questionnaire,Prepare Notification Content,Send Notification by Phone,10.0,2,7,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,Send Questionnaire,0,10.0,2,8,synthetic_data,randomForestClassifier
Register,Low Insurance Check,High Medical History,Accept Claim,Create Questionnaire,Prepare Notification Content,0,10.0,2,9,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,Prepare Notification Content,0,15.0,2,10,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,0,0,15.0,2,11,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,Send Questionnaire,0,15.0,2,12,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Send Questionnaire,High Insurance Check,Create Questionnaire,Send Notification by e-mail,0,15.0,2,13,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Medical History,Receive Questionnaire Response,Low Insurance Check,Prepare Notification Content,0,15.0,2,14,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,Prepare Notification Content,0,20.0,2,15,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,Send Questionnaire,0,20.0,2,16,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Create Questionnaire,0,0,20.0,2,17,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Prepare Notification Content,0,0,20.0,2,18,synthetic_data,randomForestClassifier
Register,Low Insurance Check,Low Medical History,Accept Claim,Prepare Notification Content,Send Notification by e-mail,0,20.0,2,19,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,5.0,3,0,synthetic_data,randomForestClassifier
Register,Contact Hospital,Create Questionnaire,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,5.0,3,1,synthetic_data,randomForestClassifier
Register,Create Questionnaire,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Prepare Notification Content,5.0,3,2,synthetic_data,randomForestClassifier
Register,High Insurance Check,Contact Hospital,High Medical History,Accept Claim,Create Questionnaire,Prepare Notification Content,5.0,3,3,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,High Medical History,High Insurance Check,Send Questionnaire,0,5.0,3,4,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,10.0,3,5,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,0,10.0,3,6,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,Contact Hospital,Prepare Notification Content,Accept Claim,Prepare Notification Content,10.0,3,7,synthetic_data,randomForestClassifier
Register,High Insurance Check,Contact Hospital,High Medical History,Accept Claim,Create Questionnaire,Prepare Notification Content,10.0,3,8,synthetic_data,randomForestClassifier
Register,Contact Hospital,Create Questionnaire,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,10.0,3,9,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,15.0,3,10,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Medical History,High Medical History,High Insurance Check,Prepare Notification Content,Prepare Notification Content,15.0,3,11,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Medical History,High Insurance Check,Accept Claim,0,15.0,3,12,synthetic_data,randomForestClassifier
Register,Contact Hospital,Create Questionnaire,High Medical History,High Insurance Check,Accept Claim,Prepare Notification Content,15.0,3,13,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Medical History,Accept Claim,Create Questionnaire,Send Notification by e-mail,15.0,3,14,synthetic_data,randomForestClassifier
