prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,desired_cfs,idx,test_id,dataset,black_box
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,0,0,5.0,1,0,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Questionnaire,0,0,5.0,1,1,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by Phone,0,5.0,1,2,synthetic_data,randomForestClassifier
Register,High Insurance Check,Contact Hospital,Create Questionnaire,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,0,0,5.0,1,3,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Phone,Send Notification by Post,0,5.0,1,4,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,0,0,10.0,1,5,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by Phone,0,10.0,1,6,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by e-mail,0,10.0,1,7,synthetic_data,randomForestClassifier
Register,Create Questionnaire,High Insurance Check,High Insurance Check,High Insurance Check,Accept Claim,Prepare Notification Content,Send Notification by Post,0,0,10.0,1,8,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by e-mail,Send Notification by Post,0,10.0,1,9,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,0,0,15.0,1,10,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,Accept Claim,Send Questionnaire,Prepare Notification Content,Send Notification by Post,0,0,15.0,1,11,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by Phone,0,15.0,1,12,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by e-mail,0,15.0,1,13,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Create Questionnaire,Prepare Notification Content,Send Notification by Post,0,0,15.0,1,14,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,0,0,20.0,1,15,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by e-mail,0,20.0,1,16,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by Phone,0,20.0,1,17,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Low Insurance Check,High Insurance Check,Accept Claim,Reject Claim,Prepare Notification Content,Send Notification by Post,0,0,20.0,1,18,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Questionnaire,0,0,20.0,1,19,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,0,0,5.0,1,0,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by Phone,0,5.0,1,1,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Questionnaire,0,0,5.0,1,2,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Phone,Send Notification by Post,0,5.0,1,3,synthetic_data,randomForestClassifier
Register,High Insurance Check,Contact Hospital,Create Questionnaire,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,0,0,5.0,1,4,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,0,0,10.0,1,5,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by e-mail,0,10.0,1,6,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by Phone,0,10.0,1,7,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,Reject Claim,High Medical History,0,Prepare Notification Content,Send Notification by Post,Receive Questionnaire Response,0,10.0,1,8,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,Low Medical History,Accept Claim,Reject Claim,Prepare Notification Content,Accept Claim,0,0,10.0,1,9,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,0,0,15.0,1,10,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by e-mail,0,15.0,1,11,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,Send Notification by Phone,0,15.0,1,12,synthetic_data,randomForestClassifier
Register,High Medical History,Contact Hospital,High Insurance Check,Accept Claim,Create Questionnaire,Prepare Notification Content,Send Notification by Post,0,0,15.0,1,13,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by e-mail,Send Notification by Post,0,15.0,1,14,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Notification by Post,0,0,20.0,1,15,synthetic_data,randomForestClassifier
Register,Create Questionnaire,Contact Hospital,High Insurance Check,High Medical History,Accept Claim,Prepare Notification Content,Send Questionnaire,0,0,20.0,1,16,synthetic_data,randomForestClassifier
