Case ID;concept:name;Resource;start:timestamp;time:timestamp;label;lifecycle:transition;Activity
81051;Start;Start;2016-02-01 06:23:52.000;2016-02-01 06:23:52.000;deviant;complete;Start
81051;Traer informacion estudiante - banner;8997;2016-02-01 06:23:52.000;2016-02-01 06:23:52.000;deviant;complete;Traer informacion estudiante - banner
81051;Radicar Solicitud Homologacion;8997;2016-02-01 06:24:02.000;2016-02-01 06:24:02.000;deviant;complete;Radicar Solicitud Homologacion
81051;Validar solicitud;387;2016-02-01 06:27:47.000;2016-02-01 06:32:06.000;deviant;complete;Validar solicitud
81051;Homologacion por grupo de cursos;1007;2016-02-01 14:19:41.000;2016-02-01 14:38:15.000;deviant;complete;Homologacion por grupo de cursos
81051;End;End;2016-02-01 14:38:15.000;2016-02-01 14:38:15.000;deviant;complete;End
81102;Start;Start;2016-02-01 11:53:46.000;2016-02-01 11:53:46.000;deviant;complete;Start
81102;Traer informacion estudiante - banner;6426;2016-02-01 11:53:46.000;2016-02-01 11:53:46.000;deviant;complete;Traer informacion estudiante - banner
81102;Radicar Solicitud Homologacion;6426;2016-02-01 11:53:50.000;2016-02-01 12:09:56.000;deviant;complete;Radicar Solicitud Homologacion
81102;Validar solicitud;22475;2016-02-03 12:47:36.000;2016-02-03 12:49:35.000;deviant;complete;Validar solicitud
81102;Homologacion por grupo de cursos;1343;2016-02-03 15:59:19.000;2016-02-03 16:48:38.000;deviant;complete;Homologacion por grupo de cursos
81102;End;End;2016-02-03 16:48:38.000;2016-02-03 16:48:38.000;deviant;complete;End
81201;Start;Start;2016-02-02 00:39:32.000;2016-02-02 00:39:32.000;deviant;complete;Start
81201;Traer informacion estudiante - banner;8916;2016-02-02 00:39:32.000;2016-02-02 00:39:32.000;deviant;complete;Traer informacion estudiante - banner
81201;Radicar Solicitud Homologacion;8916;2016-02-02 00:39:38.000;2016-02-02 00:55:38.000;deviant;complete;Radicar Solicitud Homologacion
81201;Notificacion estudiante cancelacion soli;8916;2016-02-03 21:15:31.000;2016-02-03 21:15:31.000;deviant;complete;Notificacion estudiante cancelacion soli
81201;Cancelar Solicitud;8916;2016-02-03 23:15:12.000;2016-02-03 23:15:12.000;deviant;complete;Cancelar Solicitud
81201;End;End;2016-02-03 23:15:12.000;2016-02-03 23:15:12.000;deviant;complete;End
81301;Start;Start;2016-02-02 03:30:08.000;2016-02-02 03:30:08.000;deviant;complete;Start
81301;Traer informacion estudiante - banner;4867;2016-02-02 03:30:08.000;2016-02-02 03:30:08.000;deviant;complete;Traer informacion estudiante - banner
81301;Radicar Solicitud Homologacion;4867;2016-02-02 03:30:12.000;2016-02-02 03:30:12.000;deviant;complete;Radicar Solicitud Homologacion
81301;Validar solicitud;22475;2016-02-02 03:38:03.000;2016-02-02 03:49:59.000;deviant;complete;Validar solicitud
81301;Cancelar Solicitud;669;2016-02-02 03:38:03.000;2016-02-02 04:10:03.000;deviant;complete;Cancelar Solicitud
81301;Notificacion estudiante cancelacion soli;669;2016-02-08 07:22:23.000;2016-02-08 07:22:23.000;deviant;complete;Notificacion estudiante cancelacion soli
81301;End;End;2016-02-08 07:22:23.000;2016-02-08 07:22:23.000;deviant;complete;End
81801;Start;Start;2016-02-03 08:03:14.000;2016-02-03 08:03:14.000;deviant;complete;Start
81801;Homologacion por grupo de cursos;1007;2016-02-03 08:03:14.000;2016-02-03 09:11:05.000;deviant;complete;Homologacion por grupo de cursos
