caseid,task,arrive:timestamp,start:timestamp,time:timestamp,role,open_cases,st_tsk_wip,queue,Qty_Completed,Qty_for_MRB,activity_duration,event_nr,hour,lifecycle:transition,month,timesincecasestart,timesincelastevent,timesincemidnight,weekday,attrib_trace,label
Case178,Round Grinding,2012-01-02 00:18:14,2012-01-02 00:18:14,2012-01-02 05:08:14,ID4445,12,0.4379336931380108,0,2.0,0.0,299.0,1,0,complete,1,18.233333333333334,18.233333333333334,18.233333333333334,271.56666666666666,"{'Part_Desc_': 'Cable Head', 'Report_Type': 'D', 'Rework': 'missing', 'Work_Order_Qty': 250.0}",deviant
1_CF,Turn & Mill. & Screw Assem,2012-01-02 01:30:25,2012-01-02 01:30:25,2012-01-02 05:36:26,ID4618,13,0,0,1.0,0.0,1.0,1,1,complete,1,90.41666666666667,90.41666666666667,90.41666666666667,246.01666666666668,"{'Part_Desc_': 'Ballnut', 'Report_Type': 'D', 'Rework': 'missing', 'Work_Order_Qty': 1.0}",deviant
Case178,Round Grinding,2012-01-02 05:08:14,2012-01-02 08:04:53,2012-01-02 09:04:53,ID4355,16,0.4379336931380108,0,2.0,0.0,299.0,2,8,complete,1,484.8833333333333,466.65,484.8833333333333,212.36666666666667,"{'Part_Desc_': 'Cable Head', 'Report_Type': 'D', 'Rework': 'missing', 'Work_Order_Qty': 250.0}",deviant
3_CF,Turn & Mill. & Screw Assem,2012-01-02 02:04:12,2012-01-02 05:36:26,2012-01-02 09:23:45,ID4618,14,0,0,1.0,0.0,1.0,1,2,complete,1,124.2,124.2,124.2,227.31666666666666,"{'Part_Desc_': 'Ballnut', 'Report_Type': 'D', 'Rework': 'missing', 'Work_Order_Qty': 1.0}",deviant
11_CF,Milling,2012-01-02 06:53:14,2012-01-02 06:53:14,2012-01-02 11:00:20,ID4641,18,0,0,1.0,0.0,1.0,1,6,complete,1,413.23333333333335,413.23333333333335,413.23333333333335,247.1,"{'Part_Desc_': 'Cutting Wheel', 'Report_Type': 'S', 'Rework': 'missing', 'Work_Order_Qty': 1.0}",deviant
14_CF,Milling,2012-01-02 07:27:21,2012-01-02 07:27:21,2012-01-02 11:22:03,ID4167,19,0,0,1.0,0.0,1.0,1,7,complete,1,447.35,447.35,447.35,234.7,"{'Part_Desc_': 'Cutting Wheel', 'Report_Type': 'S', 'Rework': 'missing', 'Work_Order_Qty': 1.0}",deviant
1_CF,Grinding Rework,2012-01-02 05:36:26,2012-01-02 08:52:45,2012-01-02 11:53:04,ID4528,17,0.01233616037008481,0,1.0,0.0,1.0,2,8,complete,1,532.75,442.3333333333333,532.75,180.31666666666666,"{'Part_Desc_': 'Ballnut', 'Report_Type': 'D', 'Rework': 'missing', 'Work_Order_Qty': 1.0}",deviant
5_CF,Turn & Mill. & Screw Assem,2012-01-02 03:43:16,2012-01-02 09:23:45,2012-01-02 12:56:45,ID4618,15,0,1,1.0,0.0,1.0,1,3,complete,1,223.26666666666668,223.26666666666668,223.26666666666668,213.0,"{'Part_Desc_': 'Ballnut', 'Report_Type': 'D', 'Rework': 'missing', 'Work_Order_Qty': 1.0}",deviant
Case178,Grinding Rework,2012-01-02 09:04:53,2012-01-02 12:31:36,2012-01-02 13:27:36,ID4872,20,0.01233616037008481,0,2.0,0.0,299.0,3,12,complete,1,751.6,266.71666666666664,751.6,154.86666666666667,"{'Part_Desc_': 'Cable Head', 'Report_Type': 'D', 'Rework': 'missing', 'Work_Order_Qty': 250.0}",deviant
3_CF,Grinding Rework,2012-01-02 09:23:45,2012-01-02 12:30:53,2012-01-02 15:22:17,ID4528,20,0.01233616037008481,0,1.0,0.0,1.0,2,12,complete,1,750.8833333333333,626.6833333333333,750.8833333333333,171.4,"{'Part_Desc_': 'Ballnut', 'Report_Type': 'D', 'Rework': 'missing', 'Work_Order_Qty': 1.0}",deviant
6_CF,Turn & Mill. & Screw Assem,2012-01-02 04:40:09,2012-01-02 12:56:45,2012-01-02 16:17:26,ID4618,16,0,2,1.0,0.0,1.0,1,4,complete,1,280.15,280.15,280.15,200.68333333333334,"{'Part_Desc_': 'Ballnut', 'Report_Type': 'D', 'Rework': 'missing', 'Work_Order_Qty': 1.0}",deviant
11_CF,Turning & Milling,2012-01-02 11:00:20,2012-01-02 14:05:48,2012-01-02 16:55:17,ID4529,22,0.6491904394757132,0,1.0,0.0,1.0,2,14,complete,1,845.8,432.56666666666666,845.8,169.48333333333332,"{'Part_Desc_': 'Cutting Wheel', 'Report_Type': 'S', 'Rework': 'missing', 'Work_Order_Qty': 1.0}",deviant
