,Activity,org:resource,start:timestamp,Complete Timestamp,lifecycle:transition,queue,event_nr,month,hour,timesincecasestart,timesincelastevent,timesincemidnight,weekday,Case ID,case:label,case:amount
0,A_SUBMITTED,D,2022-01-01 04:45:45+00:00,2022-01-01 06:11:24+00:00,complete,0,0,1,4,0.0,0.0,285.75,6,0,regular,18000.0
1,A_PARTLYSUBMITTED,E,2022-01-01 06:11:25+00:00,2022-01-01 06:47:32+00:00,complete,0,1,1,6,85.66666666666667,85.66666666666667,371.4166666666667,6,0,regular,18000.0
2,W_Assess_fraud,A,2022-01-01 06:47:33+00:00,2022-01-01 06:50:47+00:00,complete,0,2,1,6,121.8,36.13333333333333,407.55,6,0,regular,18000.0
3,A_PREACCEPTED,E,2022-01-01 06:50:48+00:00,2022-01-01 07:20:51+00:00,complete,0,3,1,6,125.05,3.25,410.8,6,0,regular,18000.0
4,W_Complete_preaccepted_appl,A,2022-01-01 07:20:52+00:00,2022-01-01 07:27:29+00:00,complete,0,4,1,7,155.11666666666667,30.066666666666666,440.8666666666667,6,0,regular,18000.0
5,W_Complete_preaccepted_appl,A,2022-01-01 07:27:30+00:00,2022-01-01 08:11:57+00:00,complete,0,5,1,7,161.75,6.633333333333334,447.5,6,0,regular,18000.0
6,W_Complete_preaccepted_appl,A,2022-01-01 08:11:58+00:00,2022-01-01 08:29:52+00:00,complete,0,6,1,8,206.21666666666667,44.46666666666667,491.96666666666664,6,0,regular,18000.0
7,W_Complete_preaccepted_appl,A,2022-01-01 08:29:53+00:00,2022-01-01 09:34:27+00:00,complete,0,7,1,8,224.13333333333333,17.916666666666668,509.8833333333333,6,0,regular,18000.0
8,W_Complete_preaccepted_appl,A,2022-01-01 10:04:37+00:00,2022-01-01 10:39:17+00:00,complete,1,8,1,10,318.8666666666667,94.73333333333333,604.6166666666667,6,0,regular,18000.0
9,W_Complete_preaccepted_appl,A,2022-01-01 10:44:13+00:00,2022-01-01 11:15:21+00:00,complete,1,9,1,10,358.46666666666664,39.6,644.2166666666667,6,0,regular,18000.0
10,A_DECLINED,D,2022-01-01 11:15:22+00:00,2022-01-01 11:40:17+00:00,complete,0,10,1,11,389.6166666666667,31.15,675.3666666666667,6,0,regular,18000.0
11,A_SUBMITTED,E,2022-01-01 07:37:24+00:00,2022-01-01 08:26:50+00:00,complete,0,0,1,7,0.0,0.0,457.4,6,1,deviant,36000.0
12,A_PARTLYSUBMITTED,E,2022-01-01 08:26:51+00:00,2022-01-01 08:57:16+00:00,complete,0,1,1,8,49.45,49.45,506.85,6,1,deviant,36000.0
13,W_Assess_fraud,A,2022-01-01 09:34:27+00:00,2022-01-01 10:04:37+00:00,complete,1,2,1,9,117.05,67.6,574.45,6,1,deviant,36000.0
14,A_PREACCEPTED,D,2022-01-01 10:04:38+00:00,2022-01-01 10:16:49+00:00,complete,0,3,1,10,147.23333333333332,30.183333333333334,604.6333333333333,6,1,deviant,36000.0
15,W_Complete_preaccepted_appl,A,2022-01-01 10:39:17+00:00,2022-01-01 10:44:13+00:00,complete,1,4,1,10,181.88333333333333,34.65,639.2833333333333,6,1,deviant,36000.0
16,W_Complete_preaccepted_appl,A,2022-01-01 11:15:21+00:00,2022-01-01 12:06:10+00:00,complete,1,5,1,11,217.95,36.06666666666667,675.35,6,1,deviant,36000.0
17,W_Complete_preaccepted_appl,A,2022-01-01 12:41:28+00:00,2022-01-01 13:26:11+00:00,complete,1,6,1,12,304.06666666666666,86.11666666666666,761.4666666666667,6,1,deviant,36000.0
18,W_Complete_preaccepted_appl,A,2022-01-01 13:26:12+00:00,2022-01-01 13:51:29+00:00,complete,0,7,1,13,348.8,44.733333333333334,806.2,6,1,deviant,36000.0
19,W_Complete_preaccepted_appl,A,2022-01-01 14:25:53+00:00,2022-01-01 14:31:46+00:00,complete,1,8,1,14,408.48333333333335,59.68333333333333,865.8833333333333,6,1,deviant,36000.0
20,A_ACCEPTED,D,2022-01-01 14:31:47+00:00,2022-01-01 14:34:36+00:00,complete,0,9,1,14,414.3833333333333,5.9,871.7833333333333,6,1,deviant,36000.0
21,A_FINALIZED,E,2022-01-01 14:34:37+00:00,2022-01-01 14:54:48+00:00,complete,0,10,1,14,417.21666666666664,2.8333333333333335,874.6166666666667,6,1,deviant,36000.0
22,O_SELECTED,C,2022-01-01 14:54:49+00:00,2022-01-01 14:56:03+00:00,complete,0,11,1,14,437.4166666666667,20.2,894.8166666666667,6,1,deviant,36000.0
23,O_CREATED,C,2022-01-01 14:56:04+00:00,2022-01-01 14:58:23+00:00,complete,0,12,1,14,438.6666666666667,1.25,896.0666666666667,6,1,deviant,36000.0
24,O_SENT,C,2022-01-01 14:58:24+00:00,2022-01-01 15:53:21+00:00,complete,0,13,1,14,441.0,2.3333333333333335,898.4,6,1,deviant,36000.0
25,W_Call_after_offer,A,2022-01-01 15:53:22+00:00,2022-01-01 15:55:37+00:00,complete,0,14,1,15,495.96666666666664,54.96666666666667,953.3666666666667,6,1,deviant,36000.0
26,O_SENT_BACK,C,2022-01-01 15:55:38+00:00,2022-01-01 16:03:37+00:00,complete,0,15,1,15,498.23333333333335,2.2666666666666666,955.6333333333333,6,1,deviant,36000.0
27,W_Assess_application,A,2022-01-01 16:17:00+00:00,2022-01-01 16:24:24+00:00,complete,1,16,1,16,519.6,21.366666666666667,977.0,6,1,deviant,36000.0
28,W_Call_missing_information,A,2022-01-01 16:24:25+00:00,2022-01-01 16:33:13+00:00,complete,0,17,1,16,527.0166666666667,7.416666666666667,984.4166666666666,6,1,deviant,36000.0
29,W_Call_missing_information,A,2022-01-01 16:33:14+00:00,2022-01-01 16:56:26+00:00,complete,0,18,1,16,535.8333333333334,8.816666666666666,993.2333333333333,6,1,deviant,36000.0
30,W_Call_missing_information,A,2022-01-01 16:56:27+00:00,2022-01-01 17:27:24+00:00,complete,0,19,1,16,559.05,23.216666666666665,1016.45,6,1,deviant,36000.0
31,W_Call_missing_information,A,2022-01-01 17:27:25+00:00,2022-01-01 17:49:43+00:00,complete,0,20,1,17,590.0166666666667,30.966666666666665,1047.4166666666667,6,1,deviant,36000.0
32,W_Call_missing_information,A,2022-01-01 17:49:44+00:00,2022-01-01 18:49:08+00:00,complete,0,21,1,17,612.3333333333334,22.316666666666666,1069.7333333333333,6,1,deviant,36000.0
33,W_Call_missing_information,A,2022-01-01 19:13:52+00:00,2022-01-01 19:21:10+00:00,complete,1,22,1,19,696.4666666666667,84.13333333333334,1153.8666666666666,6,1,deviant,36000.0
34,W_Call_missing_information,A,2022-01-01 19:21:11+00:00,2022-01-01 19:24:46+00:00,complete,0,23,1,19,703.7833333333333,7.316666666666666,1161.1833333333334,6,1,deviant,36000.0
35,O_SELECTED,C,2022-01-01 19:24:47+00:00,2022-01-01 19:36:16+00:00,complete,0,24,1,19,707.3833333333333,3.6,1164.7833333333333,6,1,deviant,36000.0
36,O_CREATED,C,2022-01-01 19:36:17+00:00,2022-01-01 19:54:25+00:00,complete,0,25,1,19,718.8833333333333,11.5,1176.2833333333333,6,1,deviant,36000.0
37,O_SENT,C,2022-01-01 19:54:26+00:00,2022-01-01 19:55:57+00:00,complete,0,26,1,19,737.0333333333333,18.15,1194.4333333333334,6,1,deviant,36000.0
38,W_Call_after_offer,A,2022-01-01 19:55:58+00:00,2022-01-01 20:02:04+00:00,complete,0,27,1,19,738.5666666666667,1.5333333333333334,1195.9666666666667,6,1,deviant,36000.0
39,W_Call_after_offer,A,2022-01-01 20:02:05+00:00,2022-01-01 20:24:11+00:00,complete,0,28,1,20,744.6833333333333,6.116666666666666,1202.0833333333333,6,1,deviant,36000.0
