dataset,heuristic,model,method,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,1,5,5,0.055856,3.39564,3.451496,0.0,0.0,0.3714285714285714,0.07428571428571427,0.36111111111111105,0.36111111111111105,0.07222222222222222,0.0,0.0,0.2857142857142857,0.05714285714285714,0.27777777777777773,0.27777777777777773,0.05555555555555555,0.0,0.0,0.5714285714285714,0.11428571428571428,0.5555555555555555,0.5555555555555555,0.1111111111111111,0.0,0.0,0.32785714285714285,0.05714285714285714,0.31875,0.05555555555555555,0.0,0.0,0.14285714285714285,0.02857142857142857,0.13888888888888887,0.027777777777777776,0.0,0.0,0.5714285714285714,0.11428571428571428,0.5555555555555555,0.1111111111111111,0.0,0.011111111111111112,0.011111111111111112,1.3,0.03611111111111111,0.3714285714285714,0.07428571428571427,0.07428571428571427,0.8628787878787879
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,1,10,10,0.055856,6.77592,6.8317760000000005,0.0,0.0,0.5428571428571429,0.10857142857142857,0.5277777777777778,0.5277777777777778,0.10555555555555556,0.0,0.0,0.2857142857142857,0.05714285714285714,0.27777777777777773,0.27777777777777773,0.05555555555555555,0.0,0.0,0.7142857142857143,0.14285714285714285,0.6944444444444444,0.6944444444444444,0.13888888888888887,0.0,0.0,0.5017460317460317,0.08698412698412698,0.4878086419753086,0.0845679012345679,0.0,0.0,0.14285714285714285,0.02857142857142857,0.13888888888888887,0.027777777777777776,0.0,0.0,0.7142857142857143,0.14285714285714285,0.6944444444444444,0.13888888888888887,0.0,0.01902777777777778,0.01902777777777778,1.9,0.05277777777777778,1.0857142857142854,0.10857142857142854,0.10857142857142854,0.8575757575757577
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,1,15,15,0.055856,10.220818,10.276674,0.0,0.0,0.6230915750915751,0.2114285714285714,0.6057834757834758,0.6057834757834758,0.20555555555555555,0.0,0.0,0.2857142857142857,0.05714285714285714,0.27777777777777773,0.27777777777777773,0.05555555555555555,0.0,0.0,0.92,0.6571428571428571,0.8944444444444445,0.8944444444444445,0.6388888888888888,0.0,0.0,0.6355117739403454,0.28979591836734697,0.6178586691086692,0.2817460317460318,0.0,0.0,0.14285714285714285,0.02857142857142857,0.13888888888888887,0.027777777777777776,0.0,0.0,0.9230769230769231,0.7714285714285715,0.8974358974358975,0.75,0.0,0.06574074074074074,0.06574074074074074,3.7,0.10277777777777777,3.171428571428571,0.21142857142857138,0.21142857142857138,0.8669191919191921
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,1,20,20,0.055856,12.716204,12.77206,0.0,0.0,0.6674658957600134,0.3042857142857143,0.6489251764333464,0.6489251764333464,0.2958333333333334,0.0,0.0,0.2857142857142857,0.05714285714285714,0.27777777777777773,0.27777777777777773,0.05555555555555555,0.0,0.0,0.92,0.6571428571428571,0.8944444444444445,0.8944444444444445,0.6388888888888888,0.0,0.0,0.7360107338622592,0.45233082706766914,0.7155659912549742,0.43976608187134497,0.0,0.0,0.14285714285714285,0.02857142857142857,0.13888888888888887,0.027777777777777776,0.0,0.0,0.9354838709677419,0.8571428571428571,0.9094982078853046,0.8333333333333333,0.0,0.10444444444444445,0.10444444444444445,5.325,0.14791666666666667,6.085714285714285,0.30428571428571427,0.30428571428571427,0.8590909090909091
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,2,5,5,0.055856,8.608606,8.664462,0.0,0.0,0.25476190476190474,0.05142857142857142,0.24768518518518517,0.24768518518518517,0.04999999999999999,0.0,0.0,0.16666666666666666,0.02857142857142857,0.16203703703703703,0.16203703703703703,0.027777777777777776,0.0,0.0,0.2857142857142857,0.05714285714285714,0.27777777777777773,0.27777777777777773,0.05555555555555555,0.0,0.0,0.23571428571428568,0.051428571428571435,0.22916666666666663,0.05,0.0,0.0,0.14285714285714285,0.02857142857142857,0.13888888888888887,0.027777777777777776,0.0,0.0,0.375,0.08571428571428572,0.3645833333333333,0.08333333333333333,0.0,0.01,0.01,0.9,0.025,0.17142857142857143,0.03428571428571429,0.03428571428571429,0.8815884476534295
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,2,10,10,0.055856,17.248138,17.303994,0.0,0.0,0.32492063492063494,0.07714285714285715,0.3158950617283951,0.3158950617283951,0.07500000000000001,0.0,0.0,0.16666666666666666,0.02857142857142857,0.16203703703703703,0.16203703703703703,0.027777777777777776,0.0,0.0,0.4444444444444444,0.11428571428571428,0.43209876543209874,0.43209876543209874,0.1111111111111111,0.0,0.0,0.32773368606701936,0.08380952380952379,0.3186299725651577,0.08148148148148146,0.0,0.0,0.1,0.02857142857142857,0.09722222222222222,0.027777777777777776,0.0,0.0,0.5,0.14285714285714285,0.4861111111111111,0.13888888888888887,0.0,0.018333333333333333,0.018333333333333333,1.35,0.0375,0.6857142857142857,0.06857142857142857,0.06857142857142857,0.859927797833935
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,2,15,15,0.055856,27.178384,27.23424,0.0,0.0,0.36684944684944676,0.09523809523809525,0.3566591844369621,0.3566591844369621,0.0925925925925926,0.0,0.0,0.16666666666666666,0.02857142857142857,0.16203703703703703,0.16203703703703703,0.027777777777777776,0.0,0.0,0.5,0.14285714285714285,0.4861111111111111,0.4861111111111111,0.13888888888888887,0.0,0.0,0.36216965574108434,0.10149659863945577,0.3521093875260542,0.09867724867724867,0.0,0.0,0.09090909090909091,0.02857142857142857,0.08838383838383838,0.027777777777777776,0.0,0.0,0.5454545454545454,0.17142857142857143,0.5303030303030303,0.16666666666666666,0.0,0.02302469135802469,0.02302469135802469,1.6666666666666667,0.046296296296296294,1.342857142857143,0.08952380952380953,0.08952380952380953,0.8604091456077014
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,2,20,20,0.055856,33.114865,33.170721,0.0,0.0,0.42383838383838385,0.10999999999999999,0.4120650953984287,0.4120650953984287,0.10694444444444443,0.0,0.0,0.16666666666666666,0.02857142857142857,0.16203703703703703,0.16203703703703703,0.027777777777777776,0.0,0.0,0.7142857142857143,0.17142857142857143,0.6944444444444444,0.6944444444444444,0.16666666666666666,0.0,0.0,0.4545046327941066,0.12917293233082705,0.4418795041053814,0.1255847953216374,0.0,0.0,0.08333333333333333,0.02857142857142857,0.08101851851851852,0.027777777777777776,0.0,0.0,0.8333333333333334,0.2857142857142857,0.8101851851851852,0.27777777777777773,0.0,0.02982638888888889,0.02982638888888889,1.925,0.05347222222222222,2.057142857142857,0.10285714285714284,0.10285714285714284,0.8660649819494586
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,3,5,5,0.055856,9.006622,9.062478,0.0,0.0,0.25476190476190474,0.05142857142857142,0.24768518518518517,0.24768518518518517,0.04999999999999999,0.0,0.0,0.16666666666666666,0.02857142857142857,0.16203703703703703,0.16203703703703703,0.027777777777777776,0.0,0.0,0.2857142857142857,0.05714285714285714,0.27777777777777773,0.27777777777777773,0.05555555555555555,0.0,0.0,0.23571428571428568,0.051428571428571435,0.22916666666666663,0.05,0.0,0.0,0.14285714285714285,0.02857142857142857,0.13888888888888887,0.027777777777777776,0.0,0.0,0.375,0.08571428571428572,0.3645833333333333,0.08333333333333333,0.0,0.01,0.01,0.9,0.025,0.17142857142857143,0.03428571428571429,0.03428571428571429,0.8815884476534295
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,3,10,10,0.055856,17.523695,17.579551,0.0,0.0,0.32492063492063494,0.07714285714285715,0.3158950617283951,0.3158950617283951,0.07500000000000001,0.0,0.0,0.16666666666666666,0.02857142857142857,0.16203703703703703,0.16203703703703703,0.027777777777777776,0.0,0.0,0.4444444444444444,0.11428571428571428,0.43209876543209874,0.43209876543209874,0.1111111111111111,0.0,0.0,0.32773368606701936,0.08380952380952379,0.3186299725651577,0.08148148148148146,0.0,0.0,0.1,0.02857142857142857,0.09722222222222222,0.027777777777777776,0.0,0.0,0.5,0.14285714285714285,0.4861111111111111,0.13888888888888887,0.0,0.018333333333333333,0.018333333333333333,1.35,0.0375,0.6571428571428571,0.06571428571428571,0.06571428571428571,0.859927797833935
