dataset,heuristic,model,method,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,1,5,5,0.065094,3.920712,3.985806,0.0050517865981308694,0.0833334297583338,0.2857142857142857,0.05714285714285714,0.2704068050431927,0.2704068050431927,0.056306308912387394,8.598130873949117e-09,1.418333338748523e-07,0.2857142857142857,0.05714285714285714,0.2702702705026521,0.2702702705026521,0.054054057887387395,0.02020712859813087,0.33333342550000045,0.2857142857142857,0.05714285714285714,0.27081640888103053,0.27081640888103053,0.06306306555405407,0.009093201999999995,0.14999994465833327,0.1523809523809524,0.02857142857142857,0.14438990636036036,0.031081079585360355,0.0,0.0,0.0,0.0,0.0,0.0,0.020207119999999995,0.3333332836666666,0.2857142857142857,0.05714285714285714,0.2708164086486486,0.06306306172072071,0.0037837837837837837,0.005405405405405406,0.009189189189189189,1.5,0.04054054054054054,0.28945579608792527,0.05789115921758505,0.05789115921758505,0.8757575757575757
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,1,10,10,0.065094,6.915231,6.980325000000001,0.014480427158878517,0.2388667130083335,0.29999999999999993,0.06,0.2841751466799696,0.2841751466799696,0.0632126138650901,8.598130873949117e-09,1.418333338748523e-07,0.2857142857142857,0.05714285714285714,0.2702702705026521,0.2702702705026521,0.054054057887387395,0.040414248598130864,0.666666709166667,0.42857142857142855,0.08571428571428572,0.40649768239454404,0.40649768239454404,0.09909910024774776,0.023909064888888883,0.39439994956296276,0.17333333333333334,0.031746031746031744,0.16461015490690692,0.04068948812632632,0.0,0.0,0.0,0.0,0.0,0.0,0.06144984999999997,1.013666483958333,0.42857142857142855,0.08571428571428572,0.40706621216216216,0.10847747253941441,0.005135135135135135,0.006756756756756757,0.011891891891891892,1.55,0.041891891891891894,0.6511047751452381,0.06511047751452381,0.06511047751452381,0.875
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,1,15,15,0.065094,10.315198,10.380292,0.03391496153271029,0.5594555529500002,0.27619047619047615,0.055238095238095246,0.2621778818432263,0.2621778818432263,0.06737267260225227,8.598130873949117e-09,1.418333338748523e-07,0.14285714285714285,0.02857142857142857,0.13513513536751703,0.13513513536751703,0.027027030860360374,0.07072492859813087,1.1666666346666672,0.2857142857142857,0.05714285714285714,0.2721817548269765,0.2721817548269765,0.08558558472072073,0.04862930533333333,0.8021809158944444,0.15192743764172334,0.028843537414965984,0.14502944926469327,0.04896499257887173,0.0,0.0,0.0,0.0,0.0,0.0,0.12124274999999998,2.000000196875,0.2857142857142857,0.05714285714285714,0.2735471013513513,0.10810811342905405,0.005945945945945946,0.006366366366366366,0.012312312312312312,1.4666666666666666,0.03963963963963964,1.0446646247336735,0.06964430831557823,0.06964430831557823,0.8805555555555556
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,1,20,20,0.065094,12.62741,12.692504,0.051975247439252345,0.8573750192166669,0.2714285714285714,0.05428571428571429,0.2581614931740338,0.2581614931740338,0.07452364916801803,8.598130873949117e-09,1.418333338748523e-07,0.14285714285714285,0.02857142857142857,0.13513513536751703,0.13513513536751703,0.027027030860360374,0.08641575859813086,1.4254999512083337,0.2857142857142857,0.05714285714285714,0.27260583131346294,0.27260583131346294,0.09258107976238739,0.06072702884210526,1.0017429466078946,0.15551378446115285,0.029624060150375938,0.1487489049995258,0.05509689329381223,0.0,0.0,0.0,0.0,0.0,0.0,0.16724424000000002,2.7588331090000002,0.2857142857142857,0.05714285714285714,0.27479038486486485,0.12861711105405407,0.006013513513513514,0.006655405405405405,0.01266891891891892,1.45,0.03918918918918919,1.5446224599605443,0.07723112299802722,0.07723112299802722,0.881439393939394
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,2,5,5,0.065094,12.193016,12.25811,0.02525891367517049,0.41666683016666656,0.1833333333333333,0.03428571428571429,0.17410609676599556,0.17410609676599556,0.04369369811261261,1.3874715820705319e-08,2.2887499972571815e-07,0.16666666666666666,0.02857142857142857,0.15765765803264997,0.15765765803264997,0.02702703321283783,0.050517816125284165,0.8333334751666667,0.25,0.05714285714285714,0.23785183286825093,0.23785183286825093,0.0765765804099099,0.02626926999999999,0.43333349970833324,0.15,0.03428571428571429,0.14260187216216216,0.04414414864076577,0.010103560000000011,0.16666664183333352,0.0,0.0,0.0002730691891891895,0.004504503833333339,0.050517829999999986,0.8333337040416664,0.375,0.08571428571428572,0.3560950764864865,0.10360361362274775,0.005405405405405406,0.006486486486486486,0.011891891891891892,1.1,0.02972972972972973,0.25380952163571424,0.05076190432714285,0.05076190432714285,0.88014440433213
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,2,10,10,0.065094,26.126659,26.191753,0.05799444867517049,0.9566667596041667,0.1869047619047619,0.03428571428571429,0.17836921933356317,0.17836921933356317,0.05828829080011262,1.3874715820705319e-08,2.2887499972571815e-07,0.16666666666666666,0.02857142857142857,0.15765765803264997,0.15765765803264997,0.02702703321283783,0.12629452612528416,2.083333453875,0.2857142857142857,0.05714285714285714,0.27368363584122385,0.27368363584122385,0.11036036361824324,0.05128119044444445,0.8459259707064813,0.10039682539682539,0.022222222222222223,0.09635594809009008,0.04388388509416917,0.0,0.0,0.0,0.0,0.0,0.0,0.12629453999999998,2.0833336827499997,0.375,0.08571428571428572,0.35814309567567565,0.1373873968310811,0.005945945945945946,0.00472972972972973,0.010675675675675676,1.1,0.02972972972972973,0.49687075367670075,0.04968707536767007,0.04968707536767007,0.8740072202166067
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,2,15,15,0.065094,44.382076,44.44717,0.08039067515854172,1.3261111789694446,0.1801587301587301,0.032380952380952385,0.1725931413706512,0.1725931413706512,0.06647147330548049,1.3874715820705319e-08,2.2887499972571815e-07,0.16666666666666666,0.02857142857142857,0.15765765803264997,0.15765765803264997,0.02702703321283783,0.15155342612528416,2.5000000584583333,0.2857142857142857,0.05714285714285714,0.2743663088141968,0.2743663088141968,0.12162162320157657,0.06177606476190476,1.0190476683015872,0.06768707482993196,0.014965986394557824,0.06569793740025738,0.04169884303003003,0.0,0.0,0.0,0.0,0.0,0.0,0.15155343999999998,2.500000287333333,0.375,0.08571428571428572,0.3588257686486486,0.14864865641441444,0.006246246246246246,0.003303303303303303,0.00954954954954955,1.0666666666666667,0.02882882882882883,0.825884368945068,0.0550589579296712,0.0550589579296712,0.8726835138387484
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,2,20,20,0.065094,60.444948,60.510042,0.11692346790022731,1.9287500392374999,0.17678571428571424,0.03142857142857143,0.17038982345676285,0.17038982345676285,0.08185810916858108,1.3874715820705319e-08,2.2887499972571815e-07,0.16666666666666666,0.02857142857142857,0.15765765803264997,0.15765765803264997,0.02702703321283783,0.20207122612528416,3.333333267625,0.2857142857142857,0.05714285714285714,0.2757316547601428,0.2757316547601428,0.14414414236824324,0.07814573168421053,1.2890789655741226,0.051033834586466154,0.011278195488721804,0.05038729573541962,0.045508535342686104,0.0,0.0,0.0,0.0,0.0,0.0,0.20207123999999999,3.3333334965,0.375,0.08571428571428572,0.3601911145945946,0.17117117558108108,0.006385135135135135,0.002533783783783784,0.00891891891891892,1.05,0.02837837837837838,1.403231289407483,0.07016156447037415,0.07016156447037415,0.8720216606498197
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,3,5,5,0.065094,9.617347,9.682441,0.057590308641576146,0.9500001329666665,0.19047619047619047,0.03428571428571429,0.18173667500833088,0.18173667500833088,0.0581081117018018,0.040414250641576166,0.6666667428750002,0.16666666666666666,0.02857142857142857,0.1587499347020246,0.1587499347020246,0.04504504710472973,0.08082850064157615,1.3333334751666666,0.2857142857142857,0.05714285714285714,0.2724548243416642,0.2724548243416642,0.09009009392342342,0.02222783799999999,0.36666671100833315,0.05714285714285714,0.011428571428571429,0.05465480643243243,0.02072072191914414,0.0,0.0,0.0,0.0,0.0,0.0,0.040414249999999985,0.6666667322916664,0.14285714285714285,0.02857142857142857,0.13622741216216214,0.04504504681869369,0.004864864864864865,0.002162162162162162,0.007027027027027027,1.1,0.02972972972972973,0.19353740407551015,0.03870748081510203,0.03870748081510203,0.8678700361010832
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,randomForestClassifier,genetic,0.2,3,10,10,0.065094,22.203943,22.269036999999997,0.09537762264157615,1.573333366825,0.16666666666666669,0.02857142857142857,0.16023543124256515,0.16023543124256515,0.06954955045472973,0.040414250641576166,0.6666667428750002,0.16666666666666666,0.02857142857142857,0.1587499347020246,0.1587499347020246,0.04504504710472973,0.15155342064157615,2.499999968,0.16666666666666666,0.02857142857142857,0.16175369605337594,0.16175369605337594,0.09459459372972974,0.04167157155555556,0.6874072991185186,0.0,0.0,0.0011262586906906908,0.018578575651851854,0.0010103499999999932,0.01666656520833322,0.0,0.0,2.7306756756756576e-05,0.0004504477083333303,0.11113916999999998,1.8333332251249996,0.0,0.0,0.003003761351351351,0.049549546624999996,0.006081081081081081,0.0,0.006081081081081081,1.0,0.02702702702702703,0.41755100444625853,0.04175510044462585,0.04175510044462585,0.8700361010830326
