dataset,heuristic,model,method,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,1,5,5,0.024228,11.630654,11.654882,0.031321041719626186,0.5166666840333336,0.05,0.05,0.04687822916907392,0.04687822916907392,0.06893939472878789,8.598130873949117e-09,1.418333338748523e-07,0.05,0.05,0.045454545845369586,0.045454545845369586,0.04545455190151518,0.05051779859813088,0.8333331860416673,0.05,0.05,0.04775080902718777,0.04775080902718777,0.0833333266382576,0.04849709400000002,0.7999999797750003,0.0,0.0,0.0022044133636363646,0.03636363544431819,0.0050517900000000004,0.083333485875,0.0,0.0,0.00022962681818181822,0.0037878857215909094,0.08588027000000004,1.4166666205416674,0.0,0.0,0.003903648636363638,0.06439393729734852,0.00909090909090909,0.0,0.00909090909090909,1.0,0.045454545454545456,0.3666666710083334,0.07333333420166668,0.07333333420166668,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,1,10,10,0.024228,22.57646,22.600688,0.047271534719626175,0.7797833581458334,0.06,0.06,0.056694160669073915,0.056694160669073915,0.08999015264299243,8.598130873949117e-09,1.418333338748523e-07,0.05,0.05,0.045454545845369586,0.045454545845369586,0.04545455190151518,0.10103561859813087,1.6666667251250005,0.1,0.1,0.09550161902718778,0.09550161902718778,0.16666666932386365,0.06708967088888888,1.1067000293712963,0.0611111111111111,0.0611111111111111,0.05860508605050504,0.10586010234515993,0.0050517900000000004,0.083333485875,0.0,0.0,0.00022962681818181822,0.0037878857215909094,0.17327608,2.858333336333333,0.15,0.15,0.14423982181818182,0.26628787892424244,0.010227272727272727,0.0125,0.022727272727272728,1.1,0.05,0.9598916790729168,0.09598916790729169,0.09598916790729169,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,1,15,15,0.024228,34.825319,34.849547,0.08160309953271029,1.346111129375,0.053333333333333344,0.053333333333333344,0.052194080281789866,0.052194080281789866,0.10967171800189396,8.598130873949117e-09,1.418333338748523e-07,0.05,0.05,0.045454545845369586,0.045454545845369586,0.04545455190151518,0.15155341859813087,2.499999934291667,0.1,0.1,0.09779788266355141,0.09779788266355141,0.20454545155871212,0.09995790285714286,1.6488889058809524,0.02619047619047619,0.02619047619047619,0.02835306484848485,0.09875901953138529,0.005051780000000006,0.08333332091666676,0.0,0.0,0.0002296263636363639,0.0037878782234848528,0.25258904,4.166666705666667,0.15,0.15,0.14784495636363634,0.325757577530303,0.010606060606060607,0.005555555555555556,0.01616161616161616,1.0333333333333334,0.04696969696969697,1.76958334703125,0.11797222313541668,0.11797222313541668,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,1,20,20,0.024228,45.517573,45.541801,0.10676938593925236,1.7612499955562502,0.05750000000000001,0.05750000000000001,0.05712588117905693,0.05712588117905693,0.13232954525255683,8.598130873949117e-09,1.418333338748523e-07,0.05,0.05,0.045454545845369586,0.045454545845369586,0.04545455190151518,0.17378125859813087,2.866666678291667,0.1,0.1,0.09880823902718777,0.09880823902718777,0.22121212174053034,0.12012868594736843,1.9816227819401318,0.04657894736842106,0.04657894736842106,0.04780489242344499,0.13241826042311605,0.0,0.0,0.0,0.0,0.0,0.0,0.33543823,5.533333135708333,0.2,0.2,0.1970653740909091,0.4333333243503788,0.010738636363636363,0.010056818181818182,0.020795454545454544,1.075,0.048863636363636366,2.8537499955562504,0.14268749977781253,0.14268749977781253,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,2,5,5,0.024228,10.854207,10.878435000000001,0.024551656774943163,0.40500003821666664,0.5,0.5,0.4556614389443156,0.4556614389443156,0.47295454719166663,1.3874715820705319e-08,2.2887499972571815e-07,0.5,0.5,0.45454545517612344,0.45454545517612344,0.4545454649488636,0.050517816125284165,0.8333334751666667,0.5,0.5,0.45684171891478564,0.45684171891478564,0.4924242488712121,0.038999748,0.64333334305,0.08,0.08,0.07449998854545455,0.10196969741136364,0.005051760000000016,0.08333299100000027,0.0,0.0,0.0002296254545454553,0.00378786322727274,0.07224047,1.1916667530416667,0.15,0.15,0.1396472940909091,0.19053030695643938,0.00909090909090909,0.014545454545454545,0.023636363636363636,5.5,0.25,0.5787500106249999,0.11575000212499997,0.11575000212499997,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,2,10,10,0.024228,21.534052,21.55828,0.07744379922505684,1.2775000047166667,0.495,0.495,0.453520172692048,0.453520172692048,0.5080681820325758,1.3874715820705319e-08,2.2887499972571815e-07,0.45,0.45,0.40909090972157797,0.40909090972157797,0.40909091949431814,0.15155342612528416,2.5000000584583333,0.5,0.5,0.46143424664205834,0.46143424664205834,0.5681818208390151,0.09824029377777777,1.6205555127759255,0.054444444444444455,0.054444444444444455,0.0539604173939394,0.12315656371203704,0.0,0.0,0.0,0.0,0.0,0.0,0.26269259,4.333333182541667,0.15,0.15,0.14830420863636362,0.3333333264791667,0.009772727272727273,0.011136363636363637,0.02090909090909091,5.45,0.24772727272727274,1.742916669025,0.1742916669025,0.1742916669025,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,2,15,15,0.024228,33.484175,33.508403,0.11299149870842805,1.863888930777778,0.4966666666666667,0.4966666666666667,0.456651128729171,0.456651128729171,0.5362373756414142,1.3874715820705319e-08,2.2887499972571815e-07,0.45,0.45,0.40909090972157797,0.40909090972157797,0.40909091949431814,0.20207122612528416,3.333333267625,0.5,0.5,0.463730510278422,0.463730510278422,0.6060606030738637,0.1356763982857143,2.2380952533880953,0.06619047619047619,0.06619047619047619,0.06634026918614719,0.16190476259989178,0.0,0.0,0.0,0.0,0.0,0.0,0.35362466,5.833333453916667,0.15,0.15,0.15243748454545453,0.4015151569962121,0.010202020202020202,0.01404040404040404,0.024242424242424242,5.466666666666667,0.24848484848484848,2.61458336475,0.17430555765,0.17430555765,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,2,20,20,0.024228,45.215451,45.239679,0.15052417878769891,2.48302176591875,0.495,0.495,0.45684200812671355,0.45684200812671355,0.5628646257235795,0.00757767612528415,0.12500008241666646,0.45,0.45,0.4094353489147856,0.4094353489147856,0.41477273101893936,0.22733013612528416,3.7500000371666666,0.5,0.5,0.46487864255114925,0.46487864255114925,0.625000001689394,0.12361372142105262,2.0391113462747805,0.1313157894736842,0.1313157894736842,0.12499679594976074,0.21206486980674838,0.0,0.0,0.0,0.0,0.0,0.0,0.37888356999999995,6.250000223458333,0.75,0.75,0.6990401622727273,0.9659091010662878,0.010568181818181819,0.028352272727272726,0.03892045454545454,5.45,0.24772727272727274,4.686355092081249,0.23431775460406246,0.23431775460406246,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,3,5,5,0.024228,11.311264,11.335492,0.057590296384945686,0.9499999307833331,0.49000000000000005,0.49000000000000005,0.4480722861993158,0.4480722861993158,0.4886363604901515,0.030310670641576165,0.49999977112500016,0.45,0.45,0.41046866684734434,0.41046866684734434,0.4318181714147727,0.08082847935842385,1.3333331240833335,0.5,0.5,0.4582194763344738,0.4582194763344738,0.5151515056401516,0.06668350399999998,1.0999999680666668,0.095,0.095,0.08939470472727273,0.13636363491212122,0.0,0.0,0.0,0.0,0.0,0.0,0.15660519,2.583333113375,0.15,0.15,0.14348205409090908,0.2537878687897727,0.008181818181818182,0.017272727272727273,0.025454545454545455,5.4,0.24545454545454545,0.7041666630458333,0.14083333260916667,0.14083333260916667,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,3,10,10,0.024228,21.575179,21.599407,0.0957312425132609,1.5791666212916666,0.495,0.495,0.45435142011423907,0.45435142011423907,0.521780300967803,0.02525891064157615,0.4166667801249999,0.45,0.45,0.4102390413927989,0.4102390413927989,0.4280303081875,0.18186411064157615,3.0000000584583333,0.5,0.5,0.46281200502916253,0.46281200502916253,0.5909090935662878,0.10131626933333333,1.671296292877778,0.07222222222222223,0.07222222222222223,0.07026185062626264,0.14162457896919195,0.0,0.0,0.0,0.0,0.0,0.0,0.26269259,4.333333182541667,0.15,0.15,0.14830420863636362,0.3333333264791667,0.009318181818181817,0.014772727272727272,0.02409090909090909,5.45,0.24772727272727274,1.686250004570833,0.1686250004570833,0.1686250004570833,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,3,15,15,0.024228,34.225839,34.250067,0.12888776647048916,2.1261111144027773,0.4966666666666667,0.4966666666666667,0.4573736863547192,0.4573736863547192,0.5481565658061869,0.030310670641576165,0.49999977112500016,0.45,0.45,0.41046866684734434,0.41046866684734434,0.4318181714147727,0.22227835064157614,3.6666666257916662,0.5,0.5,0.4646490159382535,0.4646490159382535,0.6212121193541666,0.12468757276190476,2.056825419018254,0.06999999999999999,0.06999999999999999,0.06930398058008658,0.15712842813719335,0.0,0.0,0.0,0.0,0.0,0.0,0.34352109999999997,5.666666812083333,0.15,0.15,0.15197823181818182,0.3939394005492424,0.010505050505050505,0.014848484848484849,0.025353535353535354,5.466666666666667,0.24848484848484848,2.7470833564979165,0.18313889043319442,0.18313889043319442,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,3,20,20,0.024228,45.559594,45.583822,0.14134882357741854,2.331666635595833,0.495,0.495,0.45642494652624627,0.45642494652624627,0.5559848470725378,0.00858803064157615,0.1416667221249999,0.45,0.45,0.4094812741200716,0.4094812741200716,0.41553030555113635,0.2576408206415761,4.250000037166666,0.5,0.5,0.46625640093825343,0.46625640093825343,0.6477272744166667,0.11524441168421053,1.9010526077407892,0.06999999999999998,0.06999999999999998,0.06887474598564591,0.1500478458063995,0.0,0.0,0.0,0.0,0.0,0.0,0.3384693,5.58333316125,0.15,0.15,0.15174860454545452,0.39015150732954545,0.010568181818181819,0.015113636363636364,0.02568181818181818,5.45,0.24772727272727274,3.479999989570834,0.1739999994785417,0.1739999994785417,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,randomForestClassifier,genetic_conformance,20,4,5,5,0.024228,10.577601,10.601829,0.006062137510482446,0.10000001001666667,0.25,0.25,0.2275482789777492,0.2275482789777492,0.23181818227348483,1.5104824474532208e-09,2.4916666706113753e-08,0.1,0.1,0.0909090909777492,0.0909090909777492,0.09090909204166667,0.010103561510482445,0.16666666675,0.35,0.35,0.3186410709777492,0.3186410709777492,0.3257575757613636,0.006062135999999998,0.0999999851,0.32999999999999996,0.32999999999999996,0.30027555163636355,0.30454545386818177,0.0,0.0,0.0,0.0,0.0,0.0,0.010103559999999998,0.1666666418333333,0.45,0.45,0.40955016181818177,0.41666666553787873,0.005454545454545455,0.06,0.06545454545454546,3.0,0.13636363636363635,2.4233333308291667,0.4846666661658333,0.4846666661658333,1.0
