,trace_id,amount,prefix_1,Unnamed: 0_1,event_nr_1,hour_1,lifecycle:transition_1,month_1,org:resource_1,queue_1,relative_timestamp_from_previous_activity_1,relative_timestamp_from_start_1,start:timestamp_1,time:timestamp_1,timesincecasestart_1,timesincelastevent_1,timesincemidnight_1,weekday_1,prefix_2,Unnamed: 0_2,event_nr_2,hour_2,lifecycle:transition_2,month_2,org:resource_2,queue_2,relative_timestamp_from_previous_activity_2,relative_timestamp_from_start_2,start:timestamp_2,time:timestamp_2,timesincecasestart_2,timesincelastevent_2,timesincemidnight_2,weekday_2,prefix_3,Unnamed: 0_3,event_nr_3,hour_3,lifecycle:transition_3,month_3,org:resource_3,queue_3,relative_timestamp_from_previous_activity_3,relative_timestamp_from_start_3,start:timestamp_3,time:timestamp_3,timesincecasestart_3,timesincelastevent_3,timesincemidnight_3,weekday_3,prefix_4,Unnamed: 0_4,event_nr_4,hour_4,lifecycle:transition_4,month_4,org:resource_4,queue_4,relative_timestamp_from_previous_activity_4,relative_timestamp_from_start_4,start:timestamp_4,time:timestamp_4,timesincecasestart_4,timesincelastevent_4,timesincemidnight_4,weekday_4,prefix_5,Unnamed: 0_5,event_nr_5,hour_5,lifecycle:transition_5,month_5,org:resource_5,queue_5,relative_timestamp_from_previous_activity_5,relative_timestamp_from_start_5,start:timestamp_5,time:timestamp_5,timesincecasestart_5,timesincelastevent_5,timesincemidnight_5,weekday_5,prefix_6,Unnamed: 0_6,event_nr_6,hour_6,lifecycle:transition_6,month_6,org:resource_6,queue_6,relative_timestamp_from_previous_activity_6,relative_timestamp_from_start_6,start:timestamp_6,time:timestamp_6,timesincecasestart_6,timesincelastevent_6,timesincemidnight_6,weekday_6,prefix_7,Unnamed: 0_7,event_nr_7,hour_7,lifecycle:transition_7,month_7,org:resource_7,queue_7,relative_timestamp_from_previous_activity_7,relative_timestamp_from_start_7,start:timestamp_7,time:timestamp_7,timesincecasestart_7,timesincelastevent_7,timesincemidnight_7,weekday_7,prefix_8,Unnamed: 0_8,event_nr_8,hour_8,lifecycle:transition_8,month_8,org:resource_8,queue_8,relative_timestamp_from_previous_activity_8,relative_timestamp_from_start_8,start:timestamp_8,time:timestamp_8,timesincecasestart_8,timesincelastevent_8,timesincemidnight_8,weekday_8,prefix_9,Unnamed: 0_9,event_nr_9,hour_9,lifecycle:transition_9,month_9,org:resource_9,queue_9,relative_timestamp_from_previous_activity_9,relative_timestamp_from_start_9,start:timestamp_9,time:timestamp_9,timesincecasestart_9,timesincelastevent_9,timesincemidnight_9,weekday_9,prefix_10,Unnamed: 0_10,event_nr_10,hour_10,lifecycle:transition_10,month_10,org:resource_10,queue_10,relative_timestamp_from_previous_activity_10,relative_timestamp_from_start_10,start:timestamp_10,time:timestamp_10,timesincecasestart_10,timesincelastevent_10,timesincemidnight_10,weekday_10,prefix_11,Unnamed: 0_11,event_nr_11,hour_11,lifecycle:transition_11,month_11,org:resource_11,queue_11,relative_timestamp_from_previous_activity_11,relative_timestamp_from_start_11,start:timestamp_11,time:timestamp_11,timesincecasestart_11,timesincelastevent_11,timesincemidnight_11,weekday_11,prefix_12,Unnamed: 0_12,event_nr_12,hour_12,lifecycle:transition_12,month_12,org:resource_12,queue_12,relative_timestamp_from_previous_activity_12,relative_timestamp_from_start_12,start:timestamp_12,time:timestamp_12,timesincecasestart_12,timesincelastevent_12,timesincemidnight_12,weekday_12,prefix_13,Unnamed: 0_13,event_nr_13,hour_13,lifecycle:transition_13,month_13,org:resource_13,queue_13,relative_timestamp_from_previous_activity_13,relative_timestamp_from_start_13,start:timestamp_13,time:timestamp_13,timesincecasestart_13,timesincelastevent_13,timesincemidnight_13,weekday_13,prefix_14,Unnamed: 0_14,event_nr_14,hour_14,lifecycle:transition_14,month_14,org:resource_14,queue_14,relative_timestamp_from_previous_activity_14,relative_timestamp_from_start_14,start:timestamp_14,time:timestamp_14,timesincecasestart_14,timesincelastevent_14,timesincemidnight_14,weekday_14,prefix_15,Unnamed: 0_15,event_nr_15,hour_15,lifecycle:transition_15,month_15,org:resource_15,queue_15,relative_timestamp_from_previous_activity_15,relative_timestamp_from_start_15,start:timestamp_15,time:timestamp_15,timesincecasestart_15,timesincelastevent_15,timesincemidnight_15,weekday_15,prefix_16,Unnamed: 0_16,event_nr_16,hour_16,lifecycle:transition_16,month_16,org:resource_16,queue_16,relative_timestamp_from_previous_activity_16,relative_timestamp_from_start_16,start:timestamp_16,time:timestamp_16,timesincecasestart_16,timesincelastevent_16,timesincemidnight_16,weekday_16,prefix_17,Unnamed: 0_17,event_nr_17,hour_17,lifecycle:transition_17,month_17,org:resource_17,queue_17,relative_timestamp_from_previous_activity_17,relative_timestamp_from_start_17,start:timestamp_17,time:timestamp_17,timesincecasestart_17,timesincelastevent_17,timesincemidnight_17,weekday_17,prefix_18,Unnamed: 0_18,event_nr_18,hour_18,lifecycle:transition_18,month_18,org:resource_18,queue_18,relative_timestamp_from_previous_activity_18,relative_timestamp_from_start_18,start:timestamp_18,time:timestamp_18,timesincecasestart_18,timesincelastevent_18,timesincemidnight_18,weekday_18,prefix_19,Unnamed: 0_19,event_nr_19,hour_19,lifecycle:transition_19,month_19,org:resource_19,queue_19,relative_timestamp_from_previous_activity_19,relative_timestamp_from_start_19,start:timestamp_19,time:timestamp_19,timesincecasestart_19,timesincelastevent_19,timesincemidnight_19,weekday_19,prefix_20,Unnamed: 0_20,event_nr_20,hour_20,lifecycle:transition_20,month_20,org:resource_20,queue_20,relative_timestamp_from_previous_activity_20,relative_timestamp_from_start_20,start:timestamp_20,time:timestamp_20,timesincecasestart_20,timesincelastevent_20,timesincemidnight_20,weekday_20,label
0,GEN0,19145.30859375,A_SUBMITTED,,,,,,E,,,159804.796875,,1667600998.0,,,,,A_PARTLYSUBMITTED,,,,,,E,,,159804.796875,,1667601771.0,,,,,W_Fix_incomplete_submission,,,,,,A,,,159804.796875,,1667830812.0,,,,,O_DECLINED,,,,,,C,,,159804.796875,,1667840893.0,,,,,W_Complete_preaccepted_appl,,,,,,E,,,159804.796875,,1667917527.0,,,,,A_DECLINED,,,,,,E,,,159804.796875,,1667917527.0,,,,,0,,,,,,0,,,49805.12109375,,1661454440.0,,,,,0,,,,,,0,,,49805.12109375,,1661616410.0,,,,,0,,,,,,0,,,49805.12109375,,1661719985.0,,,,,0,,,,,,0,,,49805.12109375,,1661719985.0,,,,,0,,,,,,0,,,49805.12109375,,1661719985.0,,,,,0,,,,,,0,,,49805.12109375,,1661719985.0,,,,,0,,,,,,0,,,49805.12109375,,1661719985.0,,,,,0,,,,,,0,,,49805.12109375,,1661722831.0,,,,,0,,,,,,0,,,49805.12109375,,1661741263.0,,,,,0,,,,,,0,,,49805.12109375,,1661757591.0,,,,,0,,,,,,0,,,49805.12109375,,1661806399.9999998,,,,,0,,,,,,0,,,49805.12109375,,1661902904.0,,,,,0,,,,,,0,,,49805.12109375,,1662023352.0,,,,,0,,,,,,0,,,49805.12109375,,1662146808.0,,,,,deviant
1,GEN1,19307.859375,A_SUBMITTED,,,,,,E,,,138944.5625,,1666347934.0,,,,,A_PARTLYSUBMITTED,,,,,,E,,,138944.5625,,1666351897.0,,,,,W_Assess_fraud,,,,,,A,,,138944.5625,,1666541740.0,,,,,A_PREACCEPTED,,,,,,E,,,138944.5625,,1666581806.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,138944.5625,,1666875531.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,138944.5625,,1667214160.0,,,,,A_ACCEPTED,,,,,,E,,,138944.5625,,1667285334.0,,,,,A_FINALIZED,,,,,,E,,,138944.5625,,1667290867.0,,,,,O_SELECTED,,,,,,C,,,138944.5625,,1667298540.0,,,,,O_CREATED,,,,,,C,,,138944.5625,,1667309023.0,,,,,O_SENT,,,,,,C,,,138944.5625,,1667319425.0,,,,,O_SELECTED,,,,,,C,,,138944.5625,,1667376439.0,,,,,O_CREATED,,,,,,C,,,138944.5625,,1667417233.9999998,,,,,O_SENT,,,,,,C,,,138944.5625,,1667432272.9999998,,,,,O_SELECTED,,,,,,C,,,138944.5625,,1667530725.0,,,,,O_CREATED,,,,,,C,,,138944.5625,,1667607653.0,,,,,O_SENT,,,,,,C,,,138944.5625,,1667676107.0,,,,,O_SENT,,,,,,C,,,138944.5625,,1667798984.0,,,,,W_Call_after_offer,,,,,,C,,,138944.5625,,1667950811.0,,,,,W_Call_after_offer,,,,,,A,,,138944.5625,,1668073567.0,,,,,deviant
2,GEN2,25282.515625,A_SUBMITTED,,,,,,E,,,112696.28125,,1664778722.0,,,,,A_PARTLYSUBMITTED,,,,,,E,,,112696.28125,,1664784631.0,,,,,W_Assess_fraud,,,,,,A,,,112696.28125,,1664928169.0,,,,,A_PREACCEPTED,,,,,,E,,,112696.28125,,1664945660.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,112696.28125,,1665107986.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,112696.28125,,1665279657.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,112696.28125,,1665455070.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,112696.28125,,1665635690.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,112696.28125,,1665830887.0,,,,,A_ACCEPTED,,,,,,D,,,112696.28125,,1665848036.0,,,,,A_FINALIZED,,,,,,E,,,112696.28125,,1665853282.0,,,,,O_SELECTED,,,,,,C,,,112696.28125,,1665858195.0,,,,,O_CREATED,,,,,,C,,,112696.28125,,1665871400.0,,,,,O_SENT,,,,,,C,,,112696.28125,,1665882787.0,,,,,W_Call_after_offer,,,,,,A,,,112696.28125,,1666029075.0,,,,,W_Call_after_offer,,,,,,A,,,112696.28125,,1666254206.0,,,,,W_Call_after_offer,,,,,,A,,,112696.28125,,1666442490.0000002,,,,,W_Call_after_offer,,,,,,A,,,112696.28125,,1666647174.0,,,,,W_Call_after_offer,,,,,,A,,,112696.28125,,1666819876.9999998,,,,,W_Call_after_offer,,,,,,C,,,112696.28125,,1666830119.9999998,,,,,deviant
3,GEN3,18175.544921875,A_SUBMITTED,,,,,,E,,,96419.2890625,,1663797220.0,,,,,A_PARTLYSUBMITTED,,,,,,E,,,96419.2890625,,1663801926.0,,,,,W_Assess_fraud,,,,,,A,,,96419.2890625,,1663961518.0,,,,,A_PREACCEPTED,,,,,,E,,,96419.2890625,,1663974439.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,96419.2890625,,1664161372.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,96419.2890625,,1664368673.0,,,,,A_ACCEPTED,,,,,,D,,,96419.2890625,,1664377688.0,,,,,A_FINALIZED,,,,,,D,,,96419.2890625,,1664381064.0,,,,,O_SELECTED,,,,,,C,,,96419.2890625,,1664387080.0000002,,,,,O_CREATED,,,,,,C,,,96419.2890625,,1664394111.0,,,,,O_SENT,,,,,,C,,,96419.2890625,,1664402700.0,,,,,W_Call_after_offer,,,,,,A,,,96419.2890625,,1664480054.9999998,,,,,W_Call_after_offer,,,,,,A,,,96419.2890625,,1664569686.0,,,,,W_Call_after_offer,,,,,,A,,,96419.2890625,,1664737103.0,,,,,W_Call_after_offer,,,,,,A,,,96419.2890625,,1664977943.0,,,,,W_Call_after_offer,,,,,,A,,,96419.2890625,,1665164447.0,,,,,O_SENT_BACK,,,,,,C,,,96419.2890625,,1665281035.0,,,,,W_Assess_application,,,,,,A,,,96419.2890625,,1665456350.0,,,,,W_Assess_application,,,,,,A,,,96419.2890625,,1665682214.0,,,,,W_Assess_application,,,,,,A,,,96419.2890625,,1665914488.0,,,,,deviant
4,GEN4,15844.0654296875,A_SUBMITTED,,,,,,D,,,107945.5234375,,1664488101.0,,,,,A_PARTLYSUBMITTED,,,,,,D,,,107945.5234375,,1664494945.0,,,,,W_Assess_fraud,,,,,,A,,,107945.5234375,,1664623984.0,,,,,A_PREACCEPTED,,,,,,D,,,107945.5234375,,1664640522.0000002,,,,,W_Complete_preaccepted_appl,,,,,,A,,,107945.5234375,,1664801566.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,107945.5234375,,1664945172.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,107945.5234375,,1665092445.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,107945.5234375,,1665255119.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,107945.5234375,,1665424280.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,107945.5234375,,1665592258.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,107945.5234375,,1665773486.9999998,,,,,W_Complete_preaccepted_appl,,,,,,A,,,107945.5234375,,1665968937.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,107945.5234375,,1666169494.0,,,,,A_ACCEPTED,,,,,,D,,,107945.5234375,,1666202309.0,,,,,A_FINALIZED,,,,,,D,,,107945.5234375,,1666211080.0,,,,,O_SELECTED,,,,,,C,,,107945.5234375,,1666217964.0,,,,,O_CREATED,,,,,,C,,,107945.5234375,,1666223987.0,,,,,O_SENT,,,,,,C,,,107945.5234375,,1666232181.0,,,,,W_Call_after_offer,,,,,,A,,,107945.5234375,,1666298846.0,,,,,W_Call_after_offer,,,,,,A,,,107945.5234375,,1666331140.0,,,,,deviant
5,GEN5,21537.888671875,A_SUBMITTED,,,,,,E,,,120485.1640625,,1665240370.0,,,,,A_PARTLYSUBMITTED,,,,,,E,,,120485.1640625,,1665246721.0,,,,,W_Assess_fraud,,,,,,A,,,120485.1640625,,1665410350.0,,,,,A_PREACCEPTED,,,,,,E,,,120485.1640625,,1665412561.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,120485.1640625,,1665565695.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,120485.1640625,,1665763908.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,120485.1640625,,1665999016.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,120485.1640625,,1666267194.0,,,,,A_ACCEPTED,,,,,,E,,,120485.1640625,,1666271639.0,,,,,A_FINALIZED,,,,,,E,,,120485.1640625,,1666276184.0,,,,,O_SELECTED,,,,,,C,,,120485.1640625,,1666284322.0,,,,,O_CREATED,,,,,,C,,,120485.1640625,,1666293656.0,,,,,O_SENT,,,,,,C,,,120485.1640625,,1666305522.0,,,,,O_SELECTED,,,,,,C,,,120485.1640625,,1666366107.0,,,,,O_CREATED,,,,,,C,,,120485.1640625,,1666389673.0,,,,,O_SENT,,,,,,C,,,120485.1640625,,1666401770.0,,,,,O_SENT,,,,,,C,,,120485.1640625,,1666435799.0,,,,,W_Call_after_offer,,,,,,C,,,120485.1640625,,1666465302.0,,,,,W_Call_after_offer,,,,,,C,,,120485.1640625,,1666494461.9999998,,,,,W_Call_after_offer,,,,,,A,,,120485.1640625,,1666562224.0,,,,,deviant
6,GEN6,26757.220703125,A_SUBMITTED,,,,,,E,,,190578.421875,,1669447497.0,,,,,A_PARTLYSUBMITTED,,,,,,E,,,190578.421875,,1669452223.0,,,,,W_Assess_fraud,,,,,,A,,,190578.421875,,1669682883.0,,,,,A_PREACCEPTED,,,,,,E,,,190578.421875,,1669719344.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,190578.421875,,1669926044.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,190578.421875,,1670160328.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,190578.421875,,1670415220.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,190578.421875,,1670694382.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,190578.421875,,1670968998.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,190578.421875,,1671195502.0,,,,,A_ACCEPTED,,,,,,E,,,190578.421875,,1671200344.0,,,,,A_FINALIZED,,,,,,E,,,190578.421875,,1671206290.0,,,,,O_SELECTED,,,,,,C,,,190578.421875,,1671213391.0,,,,,O_CREATED,,,,,,C,,,190578.421875,,1671221774.0,,,,,O_SENT,,,,,,C,,,190578.421875,,1671233497.0,,,,,O_SELECTED,,,,,,C,,,190578.421875,,1671391036.0,,,,,O_CREATED,,,,,,C,,,190578.421875,,1671470898.9999998,,,,,O_SENT,,,,,,C,,,190578.421875,,1671491171.0,,,,,W_Call_after_offer,,,,,,A,,,190578.421875,,1671676288.0,,,,,O_SENT_BACK,,,,,,C,,,190578.421875,,1671755417.0,,,,,deviant
7,GEN7,26698.408203125,A_SUBMITTED,,,,,,E,,,168004.328125,,1668095585.0,,,,,A_PARTLYSUBMITTED,,,,,,E,,,168004.328125,,1668100728.0,,,,,W_Assess_fraud,,,,,,A,,,168004.328125,,1668335339.0,,,,,A_PREACCEPTED,,,,,,E,,,168004.328125,,1668380236.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,168004.328125,,1668524565.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,168004.328125,,1668691529.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,168004.328125,,1668925523.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,168004.328125,,1669203537.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,168004.328125,,1669485533.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,168004.328125,,1669783580.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,168004.328125,,1669958119.0,,,,,A_ACCEPTED,,,,,,E,,,168004.328125,,1669963530.0,,,,,A_FINALIZED,,,,,,D,,,168004.328125,,1669969926.0,,,,,O_SELECTED,,,,,,C,,,168004.328125,,1669976831.0,,,,,O_CREATED,,,,,,C,,,168004.328125,,1669984566.0,,,,,O_SENT,,,,,,C,,,168004.328125,,1670035662.0,,,,,W_Call_after_offer,,,,,,A,,,168004.328125,,1670291445.0,,,,,W_Call_after_offer,,,,,,A,,,168004.328125,,1670486867.0,,,,,O_SELECTED,,,,,,C,,,168004.328125,,1670594603.0,,,,,O_CREATED,,,,,,C,,,168004.328125,,1670627707.0,,,,,deviant
8,GEN8,23981.416015625,A_SUBMITTED,,,,,,E,,,115718.2109375,,1664954950.0,,,,,A_PARTLYSUBMITTED,,,,,,E,,,115718.2109375,,1664957136.0,,,,,W_Assess_fraud,,,,,,A,,,115718.2109375,,1665135819.0,,,,,A_PREACCEPTED,,,,,,D,,,115718.2109375,,1665135819.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,115718.2109375,,1665331213.0000002,,,,,A_ACCEPTED,,,,,,E,,,115718.2109375,,1665352904.0,,,,,A_FINALIZED,,,,,,E,,,115718.2109375,,1665354189.0,,,,,O_SELECTED,,,,,,C,,,115718.2109375,,1665358106.0,,,,,O_CREATED,,,,,,C,,,115718.2109375,,1665362006.0,,,,,O_SENT,,,,,,C,,,115718.2109375,,1665367880.0,,,,,O_SELECTED,,,,,,C,,,115718.2109375,,1665410505.0,,,,,O_CREATED,,,,,,C,,,115718.2109375,,1665450236.0,,,,,O_SENT,,,,,,C,,,115718.2109375,,1665487075.0,,,,,W_Call_after_offer,,,,,,A,,,115718.2109375,,1665565565.0,,,,,W_Call_after_offer,,,,,,C,,,115718.2109375,,1665665619.0,,,,,W_Call_after_offer,,,,,,C,,,115718.2109375,,1665781608.0,,,,,W_Call_after_offer,,,,,,C,,,115718.2109375,,1665874991.0,,,,,W_Call_after_offer,,,,,,A,,,115718.2109375,,1665950206.0,,,,,W_Call_after_offer,,,,,,A,,,115718.2109375,,1666060240.0,,,,,W_Call_after_offer,,,,,,A,,,115718.2109375,,1666202454.0,,,,,deviant
9,GEN9,23671.27734375,A_SUBMITTED,,,,,,E,,,121343.453125,,1665294236.0,,,,,A_PARTLYSUBMITTED,,,,,,E,,,121343.453125,,1665298184.0,,,,,W_Assess_fraud,,,,,,A,,,121343.453125,,1665457262.0,,,,,A_PREACCEPTED,,,,,,E,,,121343.453125,,1665470865.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,121343.453125,,1665681771.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,121343.453125,,1665945397.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,121343.453125,,1666224618.9999998,,,,,W_Complete_preaccepted_appl,,,,,,A,,,121343.453125,,1666504864.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,121343.453125,,1666777127.0,,,,,W_Complete_preaccepted_appl,,,,,,A,,,121343.453125,,1667037573.0,,,,,A_ACCEPTED,,,,,,E,,,121343.453125,,1667037573.0,,,,,A_FINALIZED,,,,,,E,,,121343.453125,,1667043274.0,,,,,O_SELECTED,,,,,,C,,,121343.453125,,1667058612.0,,,,,O_CREATED,,,,,,C,,,121343.453125,,1667076598.0,,,,,O_SENT,,,,,,C,,,121343.453125,,1667111725.0,,,,,W_Call_after_offer,,,,,,A,,,121343.453125,,1667381703.0,,,,,W_Call_after_offer,,,,,,A,,,121343.453125,,1667609720.0,,,,,W_Assess_application,,,,,,A,,,121343.453125,,1667864031.0,,,,,W_Call_after_offer,,,,,,A,,,121343.453125,,1668188848.0,,,,,W_Call_after_offer,,,,,,A,,,121343.453125,,1668432965.0,,,,,deviant
